fileID,f1,f2,vot,notes
bi03_kaka,1127.16,1894.02,19.59,
bi03_kaka1,826.49,1498.23,33.88,
bi03_kaka2,820.94,1660.45,27.72,
bi03_keke,699.29,2363.96,23.39,
bi03_keke1,528.06,2276.01,28.47,
bi03_keke2,400.35,2541.14,25.82,
bi03_kiki,414.18,2668.48,33.63,
bi03_kiki1,357.40,2682.12,27.89,
bi03_kiki2,331.98,2681.21,24.29,
bi03_koko,475.25,863.75,22.37,
bi03_koko1,562.95,896.08,31.15,
bi03_koko2,805.01,1114.62,28.80,
bi03_kuku,404.34,757.50,25.04,
bi03_kuku1,258.36,1682.15,23.20,
bi03_kuku2,413.05,826.79,26.61,
bi03_paka,1109.38,1698.35,10.50,
bi03_paka1,758.16,1622.49,10.17,
bi03_paka2,658.04,1775.80,15.72,
bi03_peke,352.44,1760.19,15.00,
bi03_peke1,558.83,2333.71,15.43,
bi03_peke2,831.62,2455.43,17.61,
bi03_piki,389.74,2724.88,25.52,
bi03_piki1,332.57,2853.56,19.13,
bi03_piki2,1542.55,2788.85,17.07,
bi03_poko,523.04,903.96,33.51,
bi03_poko1,598.56,1641.41,19.11,
bi03_poko2,520.68,875.60,18.19,
bi03_puku,542.13,2066.73,20.75,
bi03_puku1,665.68,1754.13,25.26,
bi03_puku2,422.55,828.67,19.80,
bi03_taka,794.39,1641.65,15.99,
bi03_taka1,849.29,1637.49,17.58,
bi03_taka2,867.11,1520.13,13.34,
bi03_teke,475.31,2357.82,12.74,
bi03_teke1,451.77,2409.52,11.68,
bi03_teke2,438.82,2437.29,13.59,
bi03_tiki,357.24,2505.65,14.81,
bi03_tiki1,1045.56,2521.55,11.97,
bi03_tiki2,416.41,1909.17,21.62,
bi03_toko,727.42,878.95,14.93,
bi03_toko1,762.86,1083.14,15.97,
bi03_toko2,775.93,1033.22,15.93,
bi03_tuku,527.88,761.50,26.60,
bi03_tuku1,397.23,729.56,11.54,
bi03_tuku2,400.87,747.26,10.07,
