fileID,f1,f2,vot,notes
ne02_kaka,880.72,1622.59,40.05,
ne02_kaka1,693.96,2133.67,56.54,
ne02_kaka2,217.96,1523.46,62.37,
ne02_keke,480.52,2412.11,42.72,
ne02_keke1,435.68,2474.52,47.42,
ne02_keke2,498.91,2254.94,36.93,
ne02_kiki,356.49,2682.27,65.77,
ne02_kiki1,339.82,2809.90,89.28,
ne02_kiki2,325.86,2766.77,57.61,
ne02_koko,562.83,1045.57,49.11,
ne02_koko1,463.59,1016.46,37.61,
ne02_koko2,552.82,1084.16,53.69,
ne02_kuku,1011.98,1383.00,64.92,
ne02_kuku1,267.84,1188.81,53.03,
ne02_kuku2,484.43,1140.80,60.17,
ne02_paka,759.07,1662.30,22.70,
ne02_paka1,925.14,1566.68,16.41,
ne02_paka2,914.92,1791.84,15.22,
ne02_peke,549.85,2385.95,53.25,
ne02_peke1,515.80,2469.51,15.73,
ne02_peke2,528.27,2472.26,41.73,
ne02_piki,333.74,2619.75,14.52,
ne02_piki1,382.32,2675.42,12.11,
ne02_piki2,448.41,2642.69,14.11,
ne02_poko,579.03,1036.90,16.89,
ne02_poko1,1048.85,2173.88,26.90,
ne02_poko2,827.09,2039.21,25.72,
ne02_puku,441.45,1060.64,27.36,
ne02_puku1,493.79,1208.96,32.14,
ne02_puku2,450.78,1262.29,26.61,
ne02_taka,844.38,1758.68,35.28,
ne02_taka1,829.34,1585.23,21.56,
ne02_taka2,813.49,1651.64,24.82,
ne02_teke,518.47,2403.71,26.62,
ne02_teke1,485.28,2471.02,29.89,
ne02_teke2,687.24,1829.67,45.85,
ne02_tiki,307.00,2847.03,43.89,
ne02_tiki1,310.04,2743.42,39.08,
ne02_tiki2,295.35,2712.48,33.73,
ne02_toko,481.41,998.94,39.37,
ne02_toko1,600.54,1161.81,45.53,
ne02_toko2,546.92,1017.86,39.30,
ne02_tuku,468.31,1302.20,26.38,
ne02_tuku1,443.49,1122.41,42.10,
ne02_tuku2,757.81,1370.40,47.19,
